Date,Open,High,Low,Close,Volume
23-01-2018,,74.50,74.30,74.40,6663
24-01-2018,,74.60,74.40,74.50,56961
25-01-2018,,74.60,74.00,74.00,20570
26-01-2018,,74.40,74.00,74.30,3090
29-01-2018,,74.50,74.00,74.30,1384
30-01-2018,,74.50,74.00,74.50,2529
01-02-2018,,75.50,74.50,75.00,27028
02-02-2018,,77.50,75.00,76.00,225435
06-02-2018,,77.80,76.80,77.00,21944
07-02-2018,,79.80,77.00,79.00,43280
08-02-2018,,79.40,79.00,79.00,4036
09-02-2018,,79.90,78.00,79.00,5323
12-02-2018,,83.40,80.00,82.00,86680
14-02-2018,,82.00,81.50,81.90,21660
15-02-2018,,84.50,81.70,83.90,822775
16-02-2018,,88.50,83.90,87.20,56114
19-02-2018,,86.60,83.00,85.50,27520
20-02-2018,,86.90,84.00,86.00,39182
21-02-2018,,83.00,75.00,77.80,22054
22-02-2018,,79.90,77.30,78.00,5140
23-02-2018,,81.00,78.50,79.90,32703
26-02-2018,,80.90,79.00,79.00,711
27-02-2018,,78.70,78.50,78.70,2827
28-02-2018,,79.00,78.00,78.20,14554
02-03-2018,,78.80,77.50,78.50,41173
05-03-2018,,78.80,78.10,78.50,23073
06-03-2018,,78.60,78.10,78.10,3072
07-03-2018,,78.40,78.00,78.00,3031
08-03-2018,,78.40,77.50,78.00,4131
09-03-2018,,78.00,78.00,78.00,939
12-03-2018,,79.30,77.70,78.80,42766
13-03-2018,,79.80,77.30,79.00,156832
14-03-2018,,80.00,79.10,80.00,122060
15-03-2018,,80.50,80.00,80.10,133010
16-03-2018,,84.00,80.50,83.80,59224
19-03-2018,,82.90,81.00,81.10,2876
20-03-2018,,81.10,81.00,81.00,3700
21-03-2018,,81.00,79.50,80.00,11620
22-03-2018,,80.10,80.10,80.10,5000
23-03-2018,,81.00,80.10,80.10,8971
26-03-2018,,81.00,80.10,81.00,24680
27-03-2018,,82.00,81.10,81.30,250
28-03-2018,,82.00,81.10,82.00,2452
29-03-2018,,85.00,83.00,84.00,25794
02-04-2018,,85.00,83.00,85.00,10151
03-04-2018,,86.00,84.90,85.10,236129
04-04-2018,,88.00,86.00,87.80,10711
05-04-2018,,93.90,88.00,93.00,56771
06-04-2018,,93.00,92.90,93.00,300
09-04-2018,,94.00,92.00,92.80,9319
10-04-2018,,93.50,92.00,92.00,7350
11-04-2018,,92.00,92.00,92.00,4150
12-04-2018,,94.40,93.00,94.00,54094
16-04-2018,,97.00,94.00,96.90,36849
17-04-2018,,97.00,94.00,94.00,37528
18-04-2018,,96.90,94.10,94.30,274
19-04-2018,,95.00,94.40,95.00,9291
20-04-2018,,96.00,95.00,95.90,7891
23-04-2018,,96.80,94.50,95.00,16832
24-04-2018,,95.00,94.00,94.40,11691
25-04-2018,,94.00,90.00,90.00,46785
26-04-2018,,90.10,89.50,90.10,72688
27-04-2018,,91.00,90.10,91.00,722
01-05-2018,,92.50,91.60,92.30,5742
02-05-2018,,95.40,92.30,95.00,85879
03-05-2018,,95.00,95.00,95.00,1860
04-05-2018,,95.40,94.00,94.10,34326
08-05-2018,,95.40,93.50,93.50,600
09-05-2018,,93.70,93.00,93.00,1609
10-05-2018,,95.00,93.00,93.00,5546
11-05-2018,,95.50,93.00,95.00,33130
14-05-2018,,93.10,91.70,93.10,232
15-05-2018,,100.90,94.90,100.00,348997
16-05-2018,,105.00,102.00,102.00,41171
17-05-2018,,101.20,100.00,100.00,360812
18-05-2018,,100.00,98.00,98.90,3511
21-05-2018,,97.20,97.00,97.10,5500
22-05-2018,,104.00,97.90,102.20,295413
23-05-2018,,102.30,100.00,100.00,9467
24-05-2018,,102.00,100.00,101.50,105372
25-05-2018,,102.00,100.20,100.90,15722
28-05-2018,,102.40,101.00,101.10,21408
30-05-2018,,103.00,100.00,100.00,22425
31-05-2018,,99.90,97.00,97.10,18911
01-06-2018,,101.00,97.00,100.00,36562
04-06-2018,,104.00,101.00,103.70,29221
05-06-2018,,110.00,104.00,109.80,109288
06-06-2018,,111.10,106.00,111.10,29373
07-06-2018,,118.00,112.00,115.00,51457
08-06-2018,,115.00,110.00,110.90,41071
11-06-2018,,115.00,110.00,114.80,229996
12-06-2018,,114.90,110.20,113.20,30609
13-06-2018,,113.90,112.20,112.80,20512
14-06-2018,,113.90,110.00,110.10,10500
18-06-2018,,112.00,110.00,111.70,37849
19-06-2018,,112.00,110.00,110.00,142290
